ID	BA_LONG_NAME	BA_TYPE	AREA_ID	AREA_TYPE	FIELD_NAME	WELL_NAME	UWI	TITLE	CREATOR_NAME	CREATE_DATE	MEDIA_TYPE	DOCUMENT_TYPE	ITEM_CATEGORY	ITEM_SUB_CATEGORY	PAGE_COUNT	REMARK	DATA_STORE_NAME	DATA_STORE_TYPE	SOURCE	QC_STATUS	CHECKED_BY_BA_ID
1	PT Example	UNIT PELAKSANA	3063	WILAYAH KERJA	Sampang	BN-3	-	Fluid Flow Analysis in Petroleum Systems	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	PENGEBORAN	BIT RECORD	57.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	3954
2	PT Oil	UNIVERSITAS	4717	WILAYAH KERJA	Mahakam	BN-7	-	Formation Evaluation and Petrophysical Analysis	Example Co.	2024-03-08 00:00:00	KERTAS	KEUANGAN	LAPORAN AKHIR	LAPORAN AKHIR SUMUR	33.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	7155
3	PT Gas	BADAN USAHA	3863	WILAYAH KERJA	Cepu	BN-6	-	Reservoir Simulation and Forecasting	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	LAPORAN AKHIR	ABANDONED AND PLUG	41.00000	-	-	SHELF	-	TERVERIFIKASI	1450
4	PT Oil	BENTUK USAHA TETAP	2201	WILAYAH KERJA	Cepu	BN-5	-	Well Testing and Analysis	PT Gas	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	KERJA ULANG	STIMULASI SUMUR	80.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	8592
5	PT Oil	UNIT PELAKSANA	961	WILAYAH KERJA	Cepu	BN-3	-	Formation Evaluation and Petrophysical Analysis	PT Oil	2024-03-08 00:00:00	KERTAS	LAPORAN TEKNIK	PENGEBORAN	COMPLETION	70.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	BOX	-	TERVERIFIKASI	8456
6	PT Oil	UNIT PELAKSANA	1453	WILAYAH KERJA	Minas	BN-5	-	Well Testing and Analysis	PT Oil	2024-03-08 00:00:00	TRANSLUCENT	LAPORAN SUMUR	EKSPLORASI & AKUISISI	DATA EKSPLORASI	91.00000	-	-	BOX	-	TERVERIFIKASI	6225
7	PT Gas	BADAN USAHA	1197	WILAYAH KERJA	Jambi-Merang	BN-1	-	Production Optimization Strategies	Example Co.	2024-03-08 00:00:00	FILM	LAPORAN TEKNIK	PENGEBORAN	LAPORAN PENGEBORAN	56.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	RACK	-	TERVERIFIKASI	9817
8	Example Co.	BADAN USAHA	2237	WILAYAH KERJA	Jambi-Merang	BN-5	-	Fluid Flow Analysis in Petroleum Systems	PT Example	2024-03-08 00:00:00	KERTAS	KEUANGAN	PRODUKSI	UJI PRODUKSI	77.00000	-	-	ENVELOPE	-	TERVERIFIKASI	9263
9	PT Gas	UNIVERSITAS	2835	WILAYAH KERJA	Sampang	BN-5	-	Reservoir Characterization and Modeling	PT Gas	2024-03-08 00:00:00	FILM	LAPORAN SEISMIK	PENGEBORAN	BIT RECORD	100.00000	-	-	ENVELOPE	-	TERVERIFIKASI	5909
10	PT Gas	UNIVERSITAS	3583	WILAYAH KERJA	Cepu	BN-5	-	Drilling and Completion Practices in Oil and Gas Wells	PT Example	2024-03-08 00:00:00	TRANSLUCENT	KEUANGAN	EKSPLORASI & AKUISISI	TIME TO DEPTH RELATION REPORT/VSP	59.00000	LAPORAN BERISI 2 LAMPIRAN:1. SEISMIC CORRECTION SHEET, 2. SONIC CALIBRATION SHEET	-	ENVELOPE	-	TERVERIFIKASI	5274
